Category,Scope Notes,Examples,URI,#NAME?
Research Planning,Functions used in generating a scientific and logistic plan for executing a research project.,Data management planning tools; concept mapping tools; project management tools,http://cor.esipfed.org/ont/earthcube/SFO_0000002,
User Interaction,Functions that involve human-machine communication necessary for the operation of some component of a research project.,list-serve software; wiki software; OAuth specification,http://cor.esipfed.org/ont/earthcube/SFO_0000003,
Data Acquisition,Functions enabling incorporation of new data into an information system. Data might originate from instruments or from other information systems,satellite downlink software; streaming data handlers (stream gauge); strike and dip app for mobile device; strabo,http://cor.esipfed.org/ont/earthcube/SFO_0000004,
Data Discovery & Access,Functions that enable an agent to locate and access (acquire for use) information resources,"ElasticSearch; web map server (GeoServer); OpenSearch; Thredds; Apache Nutch, Sparkler",http://cor.esipfed.org/ont/earthcube/SFO_0000005,
Data Exploration,"interaction with data to determine usability, suitability for specific use,  for hypothesis generation, or evaluation of patterns suggesting the need for further analysis",NLP annotation; ArcGIS; RapidMiner; ,http://cor.esipfed.org/ont/earthcube/SFO_0000006,
Data Preparation,"functions to refine data for use in data analysis or other purposes. E.g. cleaning, QA/QC, transformations, documentation",MODIS cal/Val; Excel (save as); Google Refine,http://cor.esipfed.org/ont/earthcube/SFO_0000007,
Data Processing / Modeling,functions to produce a higher level defined data product,"MODIS L2 processing; geophysical forward modeling and inversion (e.g., SpecFEM3D, ModEM, etc); hydrological modeling (e.g., TopoFlow, ModFlow, etc); weather modeling and data assimilation (WRF)",http://cor.esipfed.org/ont/earthcube/SFO_0000008,
Workflow Management,functions to orchestrate a series of tools in an automated fashion to perform some reproducible task. ,"Kepler, Taverna, VisTrails",http://cor.esipfed.org/ont/earthcube/SFO_0000009,
Data Analysis,functions to enable hypothesis testing or new insights from data.,Topic modeling; Named entity recognition; ArcMap; various R statistical or image processing packages; ,http://cor.esipfed.org/ont/earthcube/SFO_0000010,
Visualization,interaction with data to use human visual capabilities to understand the data better or communicate information from the data,ASINA (https://nsidc.org/arcticseaicenews/); Google Earth; ParaView,http://cor.esipfed.org/ont/earthcube/SFO_0000011,
Reporting ,"functions to describe key aspects of a resource or its usage, or of new insights from data",Google Analytics,http://cor.esipfed.org/ont/earthcube/SFO_0000012,
Data Preservation,functions to maintain and conserve data in a usable and useful condition for the long term,"Data Conservancy; Fedora, DataOne; DataVerse",http://cor.esipfed.org/ont/earthcube/SFO_0000013,
Programmer Assistance,functions to support all aspects of software developement,"GitHub, Subversion, Eclipse, ",http://cor.esipfed.org/ont/earthcube/SFO_0000014,